epoch,1_gd_loss,sgd_loss,adam_loss,gd_time,sgd_time,adam_time,2_gd_loss,sgd_loss,adam_loss,gd_time,sgd_time,adam_time,3_gd_loss,sgd_loss,adam_loss,gd_time,sgd_time,adam_time,4_gd_loss,sgd_loss,adam_loss,gd_time,sgd_time,adam_time,5_gd_loss,sgd_loss,adam_loss,gd_time,sgd_time,adam_time
37,0.000357,0.001887,0.000000,2339,5282,8281,0.000349,0.001848,0.000000,929,5930,8610,0.000348,0.001867,0.000000,941,3643,10440,2.000000,2.000000,2.000000,1064,4273,8162,2.000000,2.000000,2.000000,1020,3976,8614
38,0.000348,0.001835,0.000000,2370,5392,8518,0.000340,0.001798,0.000000,956,6048,8909,0.000339,0.001816,0.000000,971,3741,10789,2.000000,2.000000,2.000000,1095,4372,8367,2.000000,2.000000,2.000000,1052,4112,8852
39,0.000339,0.001786,0.000000,2426,5519,8723,0.000331,0.001750,0.000000,976,6163,9207,0.000331,0.001768,0.000000,988,3841,11248,2.000000,2.000000,2.000000,1128,4471,8571,2.000000,2.000000,2.000000,1071,4224,9216
40,0.000330,0.001739,0.000000,2450,5645,8951,0.000323,0.001705,0.000000,992,6263,9491,0.000322,0.001722,0.000000,1019,3943,11563,2.000000,2.000000,2.000000,1142,4556,8791,2.000000,2.000000,2.000000,1099,4327,9794
41,0.000322,0.001695,0.000000,2514,5754,9194,0.000315,0.001662,0.000000,1024,6402,9810,0.000314,0.001678,0.000000,1051,4061,11910,2.000000,2.000000,2.000000,1186,4672,9021,2.000000,2.000000,2.000000,1133,4429,10247
42,0.000314,0.001652,0.000000,2546,5864,9415,0.000308,0.001621,0.000000,1057,6525,10067,0.000307,0.001637,0.000000,1063,4155,12201,2.000000,2.000000,2.000000,1203,4785,9242,2.000000,2.000000,2.000000,1148,4538,10658
43,0.000307,0.001612,0.000000,2593,5958,9635,0.000300,0.001582,0.000000,1072,6652,10316,0.000300,0.001597,0.000000,1100,4265,12483,2.000000,2.000000,2.000000,1239,4895,9457,2.000000,2.000000,2.000000,1184,4627,11251
44,0.000299,0.001574,0.000000,2641,6075,9871,0.000293,0.001545,0.000000,1104,6778,10550,0.000293,0.001560,0.000000,1126,4359,12767,2.000000,2.000000,2.000000,1264,4994,9707,2.000000,2.000000,2.000000,1210,4727,11954
45,0.000293,0.001538,0.000000,2673,6181,10126,0.000287,0.001509,0.000000,1119,6914,10816,0.000286,0.001524,0.000000,1144,4453,13014,2.000000,2.000000,2.000000,1283,5085,9994,2.000000,2.000000,2.000000,1229,4828,12726
46,0.000286,0.001503,0.000000,2721,6322,10376,0.000281,0.001476,0.000000,1151,7031,11040,0.000280,0.001490,0.000000,1160,4574,13266,2.000000,2.000000,2.000000,1314,5205,10242,2.000000,2.000000,2.000000,1261,4939,13132
47,0.000280,0.001470,0.000000,2754,6448,10612,0.000275,0.001443,0.000000,1167,7147,11310,0.000274,0.001457,0.000000,1191,4674,13550,2.000000,2.000000,2.000000,1330,5327,10479,2.000000,2.000000,2.000000,1277,5045,13457
48,0.000274,0.001438,0.000000,2800,6591,10831,0.000269,0.001412,0.000000,1198,7248,11546,0.000268,0.001426,0.000000,1209,4774,13899,2.000000,2.000000,2.000000,1362,5456,10715,2.000000,2.000000,2.000000,1308,5141,13902
49,0.000268,0.001407,0.000000,2848,6718,11036,0.000263,0.001383,0.000000,1213,7350,11783,0.000263,0.001396,0.000000,1239,4876,14296,2.000000,2.000000,2.000000,1378,5556,10935,2.000000,2.000000,2.000000,1324,5241,14241
50,0.000263,0.001378,0.000000,2880,6843,11225,0.000258,0.001354,0.000000,1246,7481,12020,0.000258,0.001367,0.000000,1270,4976,14613,2.000000,2.000000,2.000000,1410,5660,11170,2.000000,2.000000,2.000000,1355,5356,14559
51,0.000258,0.001350,0.000000,2928,6986,11477,0.000253,0.001327,0.000000,1261,7616,12283,0.000253,0.001339,0.000000,1299,5075,14914,2.000000,2.000000,2.000000,1442,5773,11391,2.000000,2.000000,2.000000,1391,5468,14958
52,0.000253,0.001323,0.000000,2992,7127,11698,0.000248,0.001301,0.000000,1292,7742,12533,0.000248,0.001313,0.000000,1314,5186,15233,2.000000,2.000000,2.000000,1452,5870,11594,2.000000,2.000000,2.000000,1416,5582,15459
53,0.000248,0.001297,0.000000,3038,7277,11933,0.000243,0.001275,0.000000,1308,7852,12767,0.000243,0.001287,0.000000,1346,5284,15533,2.000000,2.000000,2.000000,1492,5965,11811,2.000000,2.000000,2.000000,1433,5676,16017
